"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Login","0","Remember me","2","0","","0"
"0","Reports","0","Navigation","1","0","","0"
"0","Transactions","0","Navigation","1","0","","0"
"0","Transactions","0","Displaying currency filter: EUR","1","0","","0"
"0","Transactions","0","Pagination","1","0","","0"
"0","Transactions","0","Selector Rows options","1","0","","0"
"0","SA/Team","0","Navigation","1","0","","0"
"0","Login","0","Navigation","1","0","","0"
"0","Transactions","0","Number of lines per page field","1","0","","0"
"0","Dashboard","0","Navigation","2","0","","0"
